CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Gender_Enc,Cluster,Segment,R_proxy,F_proxy,M_proxy,RFM_Segment
1,Female,29,109.0,93.0,1,3,VIP Customers,High,High,High,VIP Customers
2,Female,21,79.0,51.0,1,4,Loyal Customers,Moderate,High,High,Loyal Customers
3,Male,27,34.0,70.0,0,1,Discount Seekers,High,High,Low,Discount Seekers
4,Male,37,102.0,28.0,0,0,New Customers,Low,Moderate,High,New Customers
5,Female,52,28.0,6.0,1,2,At-Risk / Churn,Low,Low,Low,At-Risk / Churn
6,Male,51,32.0,21.0,0,2,At-Risk / Churn,Low,Low,Low,At-Risk / Churn
7,Female,49,46.0,10.0,1,2,At-Risk / Churn,Low,Low,Moderate,At-Risk / Churn
8,Female,28,55.0,41.0,1,4,Loyal Customers,Moderate,High,Moderate,Loyal Customers
9,Male,23,42.0,66.0,0,1,Discount Seekers,High,High,Low,Discount Seekers
10,Female,32,48.0,87.0,1,1,Discount Seekers,High,Moderate,Moderate,Discount Seekers
11,Female,49,28.0,28.0,1,2,At-Risk / Churn,Low,Low,Low,At-Risk / Churn
12,Male,37,74.0,50.0,0,4,Loyal Customers,Moderate,Moderate,High,Loyal Customers
13,Male,23,53.0,63.0,0,4,Loyal Customers,High,High,Moderate,Loyal Customers
14,Male,35,112.0,87.0,0,3,VIP Customers,High,Moderate,High,VIP Customers
15,Male,61,26.0,13.0,0,2,At-Risk / Churn,Low,Low,Low,At-Risk / Churn
16,Female,64,28.0,15.0,1,2,At-Risk / Churn,Low,Low,Low,At-Risk / Churn
17,Male,34,112.0,89.0,0,3,VIP Customers,High,Moderate,High,VIP Customers
18,Male,38,112.0,21.0,0,0,New Customers,Low,Moderate,High,New Customers
19,Female,49,96.0,40.0,1,0,New Customers,Moderate,Low,High,New Customers
20,Male,40,110.0,69.0,0,3,VIP Customers,High,Moderate,High,VIP Customers
21,Male,25,59.0,84.0,0,1,Discount Seekers,High,High,Moderate,Discount Seekers
22,Male,39,19.0,19.0,0,2,At-Risk / Churn,Low,Moderate,Low,At-Risk / Churn
23,Female,35,89.0,99.0,1,3,VIP Customers,High,Moderate,High,VIP Customers
24,Male,35,93.0,81.0,0,3,VIP Customers,High,Moderate,High,VIP Customers
25,Female,66,92.0,19.0,1,0,New Customers,Low,Low,High,New Customers
26,Male,20,47.0,79.0,0,1,Discount Seekers,High,High,Moderate,Discount Seekers
27,Male,50,38.0,27.0,0,2,At-Risk / Churn,Low,Low,Low,At-Risk / Churn
28,Female,49,114.0,24.0,1,0,New Customers,Low,Low,High,New Customers
29,Female,68,128.0,25.0,1,0,New Customers,Low,Low,High,New Customers
30,Male,25,30.0,27.0,0,2,At-Risk / Churn,Low,High,Low,At-Risk / Churn
31,Male,36,51.0,82.0,0,1,Discount Seekers,High,Moderate,Moderate,Discount Seekers
32,Male,36,35.0,22.0,0,2,At-Risk / Churn,Low,Moderate,Low,At-Risk / Churn
33,Male,42,29.0,15.0,0,2,At-Risk / Churn,Low,Moderate,Low,At-Risk / Churn
34,Female,36,61.0,64.0,1,4,Loyal Customers,High,Moderate,Moderate,Loyal Customers
35,Male,34,53.0,65.0,0,1,Discount Seekers,High,Moderate,Moderate,Discount Seekers
36,Male,26,65.0,64.0,0,4,Loyal Customers,High,High,Moderate,Loyal Customers
37,Male,44,125.0,90.0,0,3,VIP Customers,High,Moderate,High,VIP Customers
38,Male,45,25.0,6.0,0,2,At-Risk / Churn,Low,Moderate,Low,At-Risk / Churn
39,Male,18,48.0,73.0,0,1,Discount Seekers,High,High,Moderate,Discount Seekers
40,Female,38,123.0,40.0,1,0,New Customers,Moderate,Moderate,High,New Customers
41,Male,51,31.0,31.0,0,2,At-Risk / Churn,Low,Low,Low,At-Risk / Churn
42,Male,56,142.0,42.0,0,0,New Customers,Moderate,Low,High,New Customers
43,Male,43,41.0,17.0,0,2,At-Risk / Churn,Low,Moderate,Low,At-Risk / Churn
44,Female,23,54.0,51.0,1,4,Loyal Customers,Moderate,High,Moderate,Loyal Customers
45,Male,27,92.0,82.0,0,3,VIP Customers,High,High,High,VIP Customers
46,Female,28,37.0,85.0,1,1,Discount Seekers,High,High,Low,Discount Seekers
47,Male,29,91.0,87.0,0,3,VIP Customers,High,High,High,VIP Customers
48,Female,41,113.0,47.0,1,0,New Customers,Moderate,Moderate,High,New Customers
49,Female,62,124.0,42.0,1,0,New Customers,Moderate,Low,High,New Customers
50,Male,40,24.0,28.0,0,2,At-Risk / Churn,Low,Moderate,Low,At-Risk / Churn
51,Male,28,31.0,64.0,0,1,Discount Seekers,High,High,Low,Discount Seekers
52,Male,21,41.0,88.0,0,1,Discount Seekers,High,High,Low,Discount Seekers
53,Female,25,45.0,44.0,1,4,Loyal Customers,Moderate,High,Moderate,Loyal Customers
54,Female,37,64.0,31.0,1,4,Loyal Customers,Low,Moderate,Moderate,Loyal Customers
55,Female,53,122.0,35.0,1,0,New Customers,Moderate,Low,High,New Customers
56,Female,37,47.0,58.0,1,4,Loyal Customers,Moderate,Moderate,Moderate,Loyal Customers
57,Male,48,30.0,11.0,0,2,At-Risk / Churn,Low,Low,Low,At-Risk / Churn
58,Female,57,27.0,30.0,1,2,At-Risk / Churn,Low,Low,Low,At-Risk / Churn
59,Male,35,22.0,25.0,0,2,At-Risk / Churn,Low,Moderate,Low,At-Risk / Churn
60,Male,46,104.0,62.0,0,3,VIP Customers,High,Low,High,VIP Customers
61,Male,31,118.0,76.0,0,3,VIP Customers,High,Moderate,High,VIP Customers
62,Female,44,112.0,84.0,1,3,VIP Customers,High,Moderate,High,VIP Customers
63,Male,25,62.0,52.0,0,4,Loyal Customers,Moderate,High,Moderate,Loyal Customers
64,Female,40,124.0,88.0,1,3,VIP Customers,High,Moderate,High,VIP Customers
65,Female,41,101.0,63.0,1,3,VIP Customers,High,Moderate,High,VIP Customers
66,Male,60,109.0,28.0,0,0,New Customers,Low,Low,High,New Customers
67,Male,49,40.0,11.0,0,2,At-Risk / Churn,Low,Low,Low,At-Risk / Churn
68,Female,24,74.0,74.0,1,3,VIP Customers,High,High,High,VIP Customers
69,Male,48,29.0,8.0,0,2,At-Risk / Churn,Low,Low,Low,At-Risk / Churn
70,Male,34,71.0,63.0,0,4,Loyal Customers,High,Moderate,High,Loyal Customers
71,Male,22,24.0,81.0,0,1,Discount Seekers,High,High,Low,Discount Seekers
72,Female,51,17.0,33.0,1,2,At-Risk / Churn,Low,Low,Low,At-Risk / Churn
73,Female,36,26.0,23.0,1,2,At-Risk / Churn,Low,Moderate,Low,At-Risk / Churn
74,Female,43,64.0,50.0,1,4,Loyal Customers,Moderate,Moderate,Moderate,Loyal Customers
75,Female,26,35.0,65.0,1,1,Discount Seekers,High,High,Low,Discount Seekers
76,Female,32,48.0,74.0,1,1,Discount Seekers,High,Moderate,Moderate,Discount Seekers
77,Male,19,32.0,83.0,0,1,Discount Seekers,High,High,Low,Discount Seekers
78,Male,55,41.0,5.0,0,2,At-Risk / Churn,Low,Low,Low,At-Risk / Churn
79,Male,18,100.0,77.0,0,3,VIP Customers,High,High,High,VIP Customers
80,Female,49,15.0,23.0,1,2,At-Risk / Churn,Low,Low,Low,At-Risk / Churn
