CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,50,24,74
2,Female,18,83,39
3,Male,36,114,57
4,Male,19,48,17
5,Male,61,110,86
6,Female,43,15,90
7,Male,49,83,44
8,Male,23,18,25
9,Male,49,30,17
10,Female,21,38,13
11,Male,28,94,84
12,Male,34,16,25
13,Male,55,142,68
14,Male,41,98,10
15,Female,22,138,67
16,Male,69,47,18
17,Female,51,115,100
18,Female,23,26,86
19,Female,39,81,34
20,Male,28,79,8
21,Female,65,88,40
22,Male,33,57,83
23,Female,50,58,42
24,Female,26,43,41
25,Female,23,26,6
26,Female,33,109,52
27,Female,46,60,26
28,Female,20,144,64
29,Female,37,49,98
30,Female,53,95,59
31,Male,36,104,56
32,Male,43,22,59
33,Female,20,107,70
34,Female,36,104,33
35,Female,37,129,53
36,Male,49,119,22
37,Female,24,149,21
38,Male,69,72,70
39,Male,58,128,70
40,Male,50,89,4
41,Male,57,134,94
42,Male,56,35,75
43,Female,35,115,62
44,Female,57,113,62
45,Female,18,50,94
46,Female,28,110,95
47,Female,45,51,24
48,Male,42,26,55
49,Female,67,127,9
50,Female,40,27,3
51,Male,48,37,31
52,Female,47,113,40
53,Male,59,119,36
54,Female,52,44,24
55,Male,24,31,95
56,Female,33,127,6
57,Female,43,76,66
58,Male,65,98,84
59,Male,69,126,92
60,Male,66,100,75
61,Male,19,33,4
62,Male,18,114,79
63,Male,65,90,6
64,Male,29,23,94
65,Male,22,42,51
66,Female,54,142,62
67,Female,49,66,57
68,Male,26,97,66
69,Female,58,125,79
70,Female,52,131,75
71,Female,36,83,8
72,Female,65,113,26
73,Male,33,39,51
74,Female,20,137,45
75,Male,37,67,44
76,Female,41,71,5
77,Female,50,53,70
78,Female,41,123,26
79,Male,69,56,68
80,Female,28,136,19
81,Male,66,147,84
82,Female,25,89,97
83,Male,53,90,20
84,Female,55,23,12
85,Male,57,88,47
86,Male,37,21,1
87,Female,52,41,90
88,Male,65,136,14
89,Female,42,19,64
90,Female,52,43,38
91,Female,42,97,37
92,Female,46,123,11
93,Female,35,79,100
94,Female,63,100,77
95,Female,35,85,3
96,Female,19,59,33
97,Female,52,146,6
98,Female,33,50,50
99,Female,58,84,10
100,Male,53,33,5
101,Male,50,122,23
102,Female,21,105,10
103,Female,50,104,44
104,Female,31,33,2
105,Female,38,53,13
106,Female,65,140,40
107,Female,37,140,2
108,Female,25,72,84
109,Female,24,75,65
110,Male,20,141,63
111,Female,34,119,73
112,Male,50,15,17
113,Female,65,145,9
114,Female,29,106,75
115,Male,68,127,15
116,Female,39,70,24
117,Male,39,131,38
118,Female,63,148,35
119,Female,47,72,94
120,Male,55,58,95
121,Female,55,75,49
122,Male,62,61,69
123,Female,68,94,62
124,Male,25,132,60
125,Male,44,34,50
126,Female,44,61,78
127,Female,51,63,75
128,Male,38,28,9
129,Female,47,15,34
130,Female,50,131,76
131,Female,45,68,99
132,Male,64,132,35
133,,50,17,1
134,Male,22,26,40
135,Male,65,88,64
136,Male,36,30,22
137,Male,21,116,60
138,Male,52,131,64
139,Male,66,22,93
140,Male,34,136,72
141,Female,61,106,11
142,Male,45,104,14
143,Female,47,74,60
144,Female,46,42,30
145,,63,115,35
146,Male,23,55,85
147,Male,52,60,37
148,Male,58,49,5
149,Male,54,148,83
150,Female,41,96,78
151,Male,46,129,26
152,Male,66,61,62
153,Male,63,24,4
154,Male,48,70,89
155,Male,52,44,42
156,Female,50,123,89
157,Male,69,19,18
158,Female,38,133,40
159,Male,49,47,72
160,Female,40,132,39
161,Male,50,79,14
162,Male,20,25,32
163,Female,35,99,51
164,Female,42,40,38
165,Female,59,77,97
166,Male,48,100,23
167,Female,20,73,63
168,Male,57,41,15
169,Male,63,112,97
170,Female,41,119,25
171,Female,67,113,17
172,Male,49,143,97
173,Male,64,69,66
174,Female,39,20,78
175,Female,40,109,53
176,Female,19,147,51
177,Male,44,116,39
178,Male,59,17,51
179,Male,19,37,70
180,Male,43,67,6
181,Male,34,97,67
182,Male,57,99,7
183,Female,50,92,51
184,Male,26,124,72
185,Male,60,15,42
186,Male,65,65,64
187,Female,56,18,15
188,Male,46,127,29
189,Male,59,46,33
190,Female,43,48,94
191,Male,52,106,27
192,Male,67,109,36
193,Male,42,86,29
194,Male,41,53,38
195,Male,30,132,57
196,Female,24,17,97
197,Female,53,137,27
198,Female,62,64,55
199,Male,37,26,33
200,Male,18,68,68
201,Male,25,147,86
202,Female,63,71,66
203,Male,33,126,10
204,Male,31,61,5
205,Female,29,99,74
206,Male,68,80,97
207,Female,40,89,38
208,Female,32,117,13
209,Female,45,52,31
210,Male,51,64,47
211,Male,19,112,100
