CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Female,29,109.0,93.0
2,Female,21,79.0,51.0
3,Male,27,34.0,70.0
4,Male,37,102.0,28.0
5,Female,52,28.0,6.0
6,Male,51,32.0,21.0
7,Female,49,46.0,10.0
8,Female,28,55.0,41.0
9,Male,23,42.0,66.0
10,Female,32,48.0,87.0
11,Female,49,28.0,28.0
12,Male,37,74.0,50.0
13,Male,23,53.0,63.0
14,Male,35,112.0,87.0
15,Male,61,26.0,13.0
16,Female,64,28.0,15.0
17,Male,34,112.0,89.0
18,Male,38,112.0,21.0
19,Female,49,96.0,40.0
20,Male,40,110.0,69.0
21,Male,25,59.0,84.0
22,Male,39,19.0,19.0
23,Female,35,89.0,99.0
24,Male,35,93.0,81.0
25,Female,66,92.0,19.0
26,Male,20,47.0,79.0
27,Male,50,38.0,27.0
28,Female,49,114.0,24.0
29,Female,68,128.0,25.0
30,Male,25,30.0,27.0
31,Male,36,51.0,82.0
32,Male,36,35.0,22.0
33,Male,42,29.0,15.0
34,Female,36,61.0,64.0
35,Male,34,53.0,65.0
36,Male,26,65.0,64.0
37,Male,44,125.0,90.0
38,Male,45,25.0,6.0
39,Male,18,48.0,73.0
40,Female,38,123.0,40.0
41,Male,51,31.0,31.0
42,Male,56,142.0,42.0
43,Male,43,41.0,17.0
44,Female,23,54.0,51.0
45,Male,27,92.0,82.0
46,Female,28,37.0,85.0
47,Male,29,91.0,87.0
48,Female,41,113.0,47.0
49,Female,62,124.0,42.0
50,Male,40,24.0,28.0
51,Male,28,31.0,64.0
52,Male,21,41.0,88.0
53,Female,25,45.0,44.0
54,Female,37,64.0,31.0
55,Female,53,122.0,35.0
56,Female,37,47.0,58.0
57,Male,48,30.0,11.0
58,Female,57,27.0,30.0
59,Male,35,22.0,25.0
60,Male,46,104.0,62.0
61,Male,31,118.0,76.0
62,Female,44,112.0,84.0
63,Male,25,62.0,52.0
64,Female,40,124.0,88.0
65,Female,41,101.0,63.0
66,Male,60,109.0,28.0
67,Male,49,40.0,11.0
68,Female,24,74.0,74.0
69,Male,48,29.0,8.0
70,Male,34,71.0,63.0
71,Male,22,24.0,81.0
72,Female,51,17.0,33.0
73,Female,36,26.0,23.0
74,Female,43,64.0,50.0
75,Female,26,35.0,65.0
76,Female,32,48.0,74.0
77,Male,19,32.0,83.0
78,Male,55,41.0,5.0
79,Male,18,100.0,77.0
80,Female,49,15.0,23.0
81,Male,42,78.0,59.0
82,Female,19,36.0,100.0
83,Male,45,89.0,81.0
84,Female,40,27.0,22.0
85,Female,28,96.0,80.0
86,Female,40,79.0,85.0
87,Male,24,51.0,72.0
88,Male,31,38.0,59.0
89,Female,33,54.0,50.0
90,Male,57,106.0,21.0
91,Female,59,27.0,1.0
92,Female,18,58.0,83.0
93,Female,30,34.0,54.0
94,Male,55,101.0,24.0
95,Female,29,41.0,73.0
96,Female,47,102.0,28.0
97,Female,49,104.0,28.0
98,Male,41,109.0,46.0
99,Female,50,29.0,14.0
100,Male,62,22.0,21.0
101,Male,38,43.0,27.0
102,Male,20,31.0,91.0
103,Male,40,91.0,71.0
104,Female,35,114.0,45.0
105,Female,26,60.0,47.0
106,Female,41,84.0,64.0
107,Female,36,120.0,27.0
108,Female,27,20.0,76.0
109,Female,43,82.0,87.0
110,Female,34,34.0,17.0
111,Female,36,104.0,91.0
112,Male,60,28.0,35.0
113,Male,23,35.0,34.0
114,Male,30,75.0,63.0
115,Female,25,50.0,71.0
116,Male,23,65.0,64.0
117,Male,42,77.0,41.0
118,Male,34,28.0,34.0
119,Female,39,59.0,33.0
120,Female,39,115.0,33.0
121,Male,31,52.0,45.0
122,Male,30,64.0,59.0
123,Female,29,100.0,53.0
124,Male,40,43.0,8.0
125,Female,30,88.0,85.0
126,Female,41,119.0,26.0
127,Male,18,50.0,22.0
128,Male,30,60.0,52.0
129,Male,43,31.0,20.0
130,Female,57,98.0,16.0
131,Female,47,94.0,25.0
132,Male,37,122.0,89.0
133,Male,39,31.0,34.0
134,Male,39,114.0,91.0
135,Male,26,60.0,20.0
136,Male,46,109.0,72.0
137,Male,63,112.0,43.0
138,Female,35,47.0,55.0
139,Male,44,85.0,86.0
140,Female,31,59.0,41.0
141,Female,43,60.0,42.0
142,Male,40,105.0,55.0
143,Male,47,120.0,40.0
144,Male,32,88.0,86.0
