CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Female,29,109,93
2,Female,21,79,51
3,Male,27,34,70
4,Male,37,102,28
5,Female,52,28,6
6,Male,51,32,21
7,Female,49,46,10
8,Female,28,55,41
9,Male,23,42,66
10,Female,32,48,87
11,Female,49,28,28
12,Male,37,74,50
13,Male,23,53,63
14,Male,35,112,87
15,Male,61,26,13
16,Female,64,28,15
17,Male,34,112,89
18,Male,38,112,21
19,Female,49,96,40
20,Male,40,110,69
21,Male,25,59,84
22,Male,39,19,19
23,Female,35,89,99
24,Male,35,93,81
25,Female,66,92,19
26,Male,20,47,79
27,Male,50,38,27
28,Female,49,114,24
29,Female,68,128,25
30,Male,25,30,27
31,Male,36,51,82
32,Male,36,35,22
33,Male,42,29,15
34,Female,36,61,64
35,Male,34,53,65
36,Male,26,65,64
37,Male,44,125,90
38,Male,45,25,6
39,Male,18,48,73
40,Female,38,123,40
41,Male,51,31,31
42,Male,56,142,42
43,Male,43,41,17
44,Female,23,54,51
45,Male,27,92,82
46,Female,28,37,85
47,Male,29,91,87
48,Female,41,113,47
49,Female,62,124,42
50,Male,40,24,28
51,Male,28,31,64
52,Male,21,41,88
53,Female,25,45,44
54,Female,37,64,31
55,Female,53,122,35
56,Female,37,47,58
57,Male,48,30,11
58,Female,57,27,30
59,Male,35,22,25
60,Male,46,104,62
61,Male,31,118,76
62,Female,44,112,84
63,Male,25,62,52
64,Female,40,124,88
65,Female,41,101,63
66,Male,60,109,28
67,Male,49,40,11
68,Female,24,74,74
69,Male,48,29,8
70,Male,34,71,63
71,Male,22,24,81
72,Female,51,17,33
73,Female,36,26,23
74,Female,43,64,50
75,Female,26,35,65
76,Female,32,48,74
77,Male,19,32,83
78,Male,55,41,5
79,Male,18,100,77
80,Female,49,15,23
81,Male,42,78,59
82,Female,19,36,100
83,Male,45,89,81
84,Female,40,27,22
85,Female,28,96,80
86,Female,40,79,85
87,Male,24,51,72
88,Male,31,38,59
89,Female,33,54,50
90,Male,57,106,21
91,Female,59,27,1
92,Female,18,58,83
93,Female,30,34,54
94,Male,55,101,24
95,Female,29,41,73
96,Female,47,102,28
97,Female,49,104,28
98,Male,41,109,46
99,Female,50,29,14
100,Male,62,22,21
101,Male,38,43,27
102,Male,20,31,91
103,Male,40,91,71
104,Female,35,114,45
105,Female,26,60,47
106,Female,41,84,64
107,Female,36,120,27
108,Female,27,20,76
109,Female,43,82,87
110,Female,34,34,17
111,Female,36,104,91
112,Male,60,28,35
113,Male,23,35,34
114,Male,30,75,63
115,Female,25,50,71
116,Male,23,65,64
117,Male,42,77,41
118,Male,34,28,34
119,Female,39,59,33
120,Female,39,115,33
121,Male,31,52,45
122,Male,30,64,59
123,Female,29,100,53
124,Male,40,43,8
125,Female,30,88,85
126,Female,41,119,26
127,Male,18,50,22
128,Male,30,60,52
129,Male,43,31,20
130,Female,57,98,16
131,Female,47,94,25
132,Male,37,122,89
133,Male,39,31,34
134,Male,39,114,91
135,Male,26,60,20
136,Male,46,109,72
137,Male,63,112,43
138,Female,35,47,55
139,Male,44,85,86
140,Female,31,59,41
141,Female,43,60,42
142,Male,40,105,55
143,Male,47,120,40
144,Male,32,88,86
145,Female,51,98,79
146,Male,19,34,16
147,Male,25,40,64
148,Female,64,104,24
149,Female,50,38,20
150,Female,18,109,63
151,Male,30,65,47
152,Female,18,87,73
153,Male,41,29,26
154,Male,59,130,30
155,Female,32,59,63
156,Male,32,122,75
157,Male,24,36,93
158,Male,31,47,83
159,Male,32,104,63
160,Male,25,41,59
161,Female,34,115,66
162,Female,32,45,88
163,Male,29,35,70
164,Female,41,93,24
165,Male,38,18,47
166,Female,20,71,77
167,Female,42,92,60
168,Female,50,36,23
169,Female,54,20,20
170,Male,51,124,24
171,Male,26,43,93
172,Male,20,45,3
173,Male,56,77,33
174,Female,32,135,54
175,Male,31,39,79
176,Male,44,42,1
177,Female,25,44,75
178,Female,40,89,95
179,Male,33,56,71
180,Male,50,45,26
181,Male,29,64,81
182,Male,54,19,8
183,Female,18,75,49
184,Male,24,49,46
185,Female,27,105,71
186,Female,26,41,59
187,Male,43,55,62
188,Male,60,110,26
189,Female,54,106,15
190,Male,43,98,100
191,Female,59,22,26
192,Female,47,65,39
193,Female,21,62,54
194,Male,29,38,77
195,Female,27,95,78
196,Female,51,113,92
197,Female,25,51,57
198,Female,36,52,64
199,Male,32,60,36
200,Male,28,36,86
201,Female,27,55,68
202,Male,51,23,37
203,Female,48,15,30
204,Female,29,74,39
205,Male,28,39,75
206,Female,56,24,11
207,Male,43,30,25
208,Female,24,51,62
209,Female,55,18,20
210,Female,61,33,19
211,Female,52,108,42
212,Female,23,41,73
213,Male,25,25,72
214,Male,37,94,73
215,Male,21,59,79
216,Female,30,85,80
217,Male,54,99,91
218,Female,30,39,81
219,Female,20,48,82
220,Female,28,51,15
221,Female,31,58,92
222,Female,58,114,34
223,Male,56,34,27
224,Female,40,64,84
225,Female,29,86,85
226,Male,45,112,68
227,Female,29,64,63
228,Male,32,99,84
229,Male,28,67,48
230,Female,34,29,72
231,Male,24,46,79
232,Male,48,96,19
233,Female,52,125,29
234,Female,69,114,52
235,Male,45,26,23
236,Male,23,51,78
237,Male,34,123,82
238,Male,31,26,10
239,Female,27,30,89
240,Male,41,29,8
241,Male,40,72,69
242,Male,23,72,43
243,Male,22,73,44
244,Female,39,90,92
245,Female,31,30,12
246,Female,36,59,52
247,Male,45,127,30
248,Male,27,64,36
249,Male,40,86,51
250,Male,34,51,37
251,Male,21,96,94
252,Male,22,106,79
253,Female,37,41,44
254,Female,30,106,71
255,Male,40,31,28
256,Male,49,112,36
257,Male,26,57,81
258,Female,23,29,78
259,Female,58,109,30
260,Female,38,32,1
261,Female,34,23,78
262,Female,45,70,37
263,Female,43,21,14
264,Female,58,98,41
265,Female,32,63,67
266,Male,22,36,61
267,Male,25,37,91
268,Female,30,37,88
269,Male,37,84,96
270,Male,42,98,81
271,Male,37,47,53
272,Male,33,76,45
273,Male,42,67,41
274,Female,33,48,45
275,Female,54,106,36
276,Male,51,105,20
277,Male,25,38,55
278,Male,21,42,97
279,Male,20,29,75
280,Male,19,32,86
281,Male,48,46,42
282,Female,39,103,69
283,Male,43,104,66
284,Male,49,29,15
285,Female,64,89,39
286,Male,51,20,6
287,Female,46,119,36
288,Female,54,97,33
289,Male,37,88,71
290,Female,49,115,33
291,Male,51,22,31
292,Male,42,28,35
293,Female,35,60,44
294,Male,32,113,62
295,Female,29,32,17
296,Female,43,119,37
297,Female,23,31,94
298,Female,28,107,95
299,Male,24,72,81
300,Male,34,26,19
301,Female,67,39,14
302,Male,44,126,35
303,Male,52,114,22
304,Male,24,29,60
305,Female,20,34,68
306,Male,36,70,65
307,Female,51,78,35
308,Male,39,102,77
309,Female,30,41,92
310,Female,40,89,86
311,Male,42,105,19
312,Female,31,46,15
313,Female,54,30,6
314,Male,27,64,47
315,Male,39,73,29
316,Female,26,28,59
317,Female,59,93,32
318,Male,57,21,12
319,Male,38,24,25
320,Female,30,87,73
321,Female,33,118,17
322,Female,20,43,84
323,Male,29,51,78
324,Male,20,116,78
325,Female,44,70,60
326,Female,21,42,71
327,Female,65,135,41
328,Male,23,40,71
329,Male,53,114,27
330,Male,37,79,90
331,Female,37,127,75
332,Male,26,43,76
333,Male,49,35,18
334,Female,50,33,5
335,Male,59,32,19
336,Female,31,26,16
337,Male,23,52,19
338,Female,32,51,79
339,Female,37,97,33
340,Female,28,36,18
341,Male,43,109,32
342,Female,67,111,7
343,Male,54,28,15
344,Female,53,115,23
345,Male,38,86,92
346,Female,29,46,71
347,Female,18,45,92
348,Female,37,40,12
349,Male,37,101,84
350,Male,40,27,79
351,Male,55,114,32
352,Female,34,67,51
353,Male,31,47,86
354,Female,56,17,14
355,Male,47,29,25
356,Male,23,35,89
357,Male,41,21,16
358,Female,70,101,33
359,Male,31,49,53
360,Female,43,125,45
361,Female,26,95,74
362,Female,25,40,77
363,Female,60,110,35
364,Male,57,128,30
365,Male,18,70,26
366,Female,39,86,87
367,Male,28,45,72
368,Female,41,44,60
369,Female,40,31,21
370,Female,47,37,27
371,Female,33,34,9
372,Male,47,27,24
373,Female,32,33,14
374,Female,26,42,86
375,Female,49,35,20
376,Male,45,76,69
377,Male,34,63,40
378,Male,55,30,13
379,Female,33,56,79
380,Male,43,108,90
381,Female,54,30,25
382,Male,29,58,90
383,Female,18,45,57
384,Female,30,47,45
385,Female,25,41,78
386,Male,26,38,68
387,Female,35,87,73
388,Male,50,36,1
389,Male,26,44,68
390,Male,22,48,61
391,Female,18,69,73
392,Female,48,104,38
393,Male,31,84,67
394,Male,30,31,53
395,Male,35,107,77
396,Female,35,56,36
397,Male,28,69,61
398,Female,57,109,15
399,Male,27,45,88
400,Female,23,44,75
401,Male,44,15,31
402,Female,18,56,76
403,Female,45,127,52
404,Female,31,56,27
405,Male,39,100,61
406,Female,45,47,88
407,Female,29,77,62
408,Female,49,30,18
409,Male,28,54,51
410,Male,39,40,5
411,Male,38,98,86
412,Female,18,60,79
413,Male,29,29,43
414,Male,66,109,29
415,Male,18,41,75
416,Male,49,93,26
417,Male,38,125,90
418,Male,54,114,74
419,Female,23,34,69
420,Male,25,58,90
421,Female,18,59,87
422,Female,25,51,80
423,Male,37,26,13
424,Female,40,97,47
425,Male,47,23,15
426,Male,48,91,28
427,Male,61,119,22
428,Female,22,59,46
429,Female,29,125,77
430,Female,21,35,14
431,Male,55,24,18
432,Female,31,41,74
433,Male,18,49,81
434,Female,48,19,29
435,Male,48,24,23
436,Female,37,31,53
437,Female,32,29,36
438,Male,36,54,65
439,Female,26,34,76
440,Male,33,30,15
441,Male,43,21,33
442,Male,37,61,30
443,Female,38,114,77
444,Male,36,100,92
445,Female,29,73,65
446,Female,39,53,40
447,Male,33,76,61
448,Male,22,35,74
449,Female,37,102,76
450,Female,61,35,27
451,Male,25,49,87
452,Male,41,118,28
453,Male,44,118,21
454,Female,30,42,73
455,Female,51,35,33
456,Female,40,118,28
457,Female,56,32,28
458,Female,52,121,19
459,Male,57,38,5
460,Female,41,27,23
461,Male,60,28,22
462,Male,28,33,79
463,Male,24,42,72
464,Male,47,143,25
465,Female,33,57,47
466,Female,41,109,81
467,Female,25,73,68
468,Male,25,65,32
469,Female,30,119,94
470,Male,29,59,60
471,Female,46,37,26
472,Female,42,76,66
473,Female,42,41,15
474,Male,41,81,60
475,Male,50,99,44
476,Female,31,59,69
477,Male,46,32,8
478,Male,51,102,28
479,Female,40,71,75
480,Male,45,104,42
481,Female,22,47,85
482,Female,25,37,96
483,Male,49,119,19
484,Male,37,31,71
485,Male,41,121,35
486,Female,33,68,53
487,Female,42,33,11
488,Female,21,105,90
489,Male,32,70,20
490,Male,32,54,36
491,Female,50,121,4
492,Female,27,34,56
493,Female,49,121,70
494,Male,56,15,31
495,Female,46,113,24
496,Female,34,99,100
